,Date,GC=F,ETH-USD,^FTSE,AVDO-USD,GC=F_z_norm,ETH-USD_z_norm,^FTSE_z_norm,AVDO-USD_z_norm
2185,2022-10-10,1667.300048828125,1291.337646484375,6959.2998046875,954.8893432617188,-1.9082155038731703,-1.0380139629200533,-2.1924918879269124,-0.073287086537077
2186,2022-10-11,1678.699951171875,1279.57568359375,6885.2001953125,1012.6224365234376,-1.8030899423488749,-1.0617142197182323,-2.5028763734070063,0.0878789121553422
2187,2022-10-12,1670.300048828125,1294.9063720703125,6826.2001953125,871.5470581054688,-1.880550645432888,-1.0308230107281906,-2.7500124217314923,-0.3059429492608183
2188,2022-10-13,1670.0,1288.1239013671875,6850.2998046875,938.5784301757812,-1.8833175815513048,-1.0444896324379318,-2.649065265339946,-0.11882014995987862
2189,2022-10-14,1641.699951171875,1297.422119140625,6858.7998046875,1022.3015747070312,-2.1442898631123564,-1.0257538014337797,-2.613460919394893,0.1148989085509823
2190,2022-10-17,1657.0,1331.713623046875,6920.2001953125,782.4839477539062,-2.003198634792528,-0.9566567080207692,-2.356270243045023,-0.5545688987035859
2191,2022-10-18,1649.0,1310.447021484375,6936.7001953125,661.9495239257812,-2.076971590633281,-0.9995087322060808,-2.2871559244458024,-0.8910492377183663
2192,2022-10-19,1627.5,1285.7442626953125,6925.0,786.8892822265625,-2.275236409455304,-1.049284584448473,-2.336165077567089,-0.5422710970486284
2193,2022-10-20,1630.800048828125,1283.200927734375,6943.89990234375,786.8794555664062,-2.244804614896605,-1.0544093831116326,-2.2569981762289015,-0.5422985288630077
2194,2022-10-21,1651.0,1299.9464111328125,6969.7001953125,739.1267700195312,-2.058528351673093,-1.0206673741932961,-2.148927287247361,-0.675603516030744
2195,2022-10-24,1648.699951171875,1344.99853515625,7014.0,631.1593627929688,-2.0797385267516977,-0.9298877212911492,-1.9633666317894745,-0.9770021425172611
2196,2022-10-25,1652.800048828125,1461.6654052734375,7013.5,609.8294677734375,-2.0419289863345345,-0.6948049542964478,-1.96546100508036,-1.0365460477302288
2197,2022-10-26,1664.0,1566.566650390625,7056.10009765625,790.8046875,-1.9386472984318694,-0.48342982321967065,-1.787019991639634,-0.5313409672820056
